total,hp,attack,defense,sp_atk,sp_def,speed,name,classe
500,70,110,80,55,80,105,Scyther,cluster1
455,65,50,35,115,95,95,Jynx,cluster0
490,65,83,57,95,85,105,Electabuzz,ruido
495,65,95,57,100,85,93,Magmar,cluster3
500,65,125,100,55,70,85,Pinsir,cluster1
490,75,100,95,40,70,110,Tauros,cluster1
200,20,10,55,15,20,80,Magikarp,cluster2
540,95,125,79,60,100,81,Gyarados,cluster1
535,130,85,80,85,95,60,Lapras,ruido
288,48,48,48,48,48,48,Ditto,cluster2
325,55,55,50,45,65,55,Eevee,cluster2
525,130,65,60,110,95,65,Vaporeon,cluster3
525,65,65,60,110,95,130,Jolteon,cluster3
525,65,130,60,95,110,65,Flareon,ruido
395,65,60,70,85,75,40,Porygon,cluster0
355,35,40,100,90,55,35,Omanyte,ruido
495,70,60,125,115,70,55,Omastar,ruido
355,30,80,90,55,45,55,Kabuto,cluster2
495,60,115,105,65,70,80,Kabutops,cluster1
515,80,105,65,60,75,130,Aerodactyl,cluster1
540,160,110,65,65,110,30,Snorlax,cluster1
580,90,85,100,95,125,85,Articuno,cluster3
580,90,90,85,125,90,100,Zapdos,cluster3
580,90,100,90,125,85,90,Moltres,cluster3
300,41,64,45,50,50,50,Dratini,cluster2
420,61,84,65,70,70,70,Dragonair,cluster0
600,91,134,95,100,100,80,Dragonite,cluster3
680,106,110,90,154,90,130,Mewtwo,cluster3
600,100,100,100,100,100,100,Mew,cluster3
318,45,49,65,49,65,45,Chikorita,cluster2
405,60,62,80,63,80,60,Bayleef,cluster0
525,80,82,100,83,100,80,Meganium,ruido
309,39,52,43,60,50,65,Cyndaquil,cluster2
405,58,64,58,80,65,80,Quilava,cluster0
534,78,84,78,109,85,100,Typhlosion,cluster3
314,50,65,64,44,48,43,Totodile,cluster2
405,65,80,80,59,63,58,Croconaw,cluster0
530,85,105,100,79,83,78,Feraligatr,cluster1
215,35,46,34,35,45,20,Sentret,cluster2
415,85,76,64,45,55,90,Furret,cluster0
262,60,30,30,36,56,50,Hoothoot,cluster2
452,100,50,50,86,96,70,Noctowl,cluster0
265,40,20,30,40,80,55,Ledyba,cluster2
390,55,35,50,55,110,85,Ledian,cluster0
250,40,60,40,40,40,30,Spinarak,cluster2
400,70,90,70,60,70,40,Ariados,cluster0
535,85,90,80,70,80,130,Crobat,ruido
330,75,38,38,56,56,67,Chinchou,cluster2
460,125,58,58,76,76,67,Lanturn,cluster0
205,20,40,15,35,35,60,Pichu,cluster2
218,50,25,28,45,55,15,Cleffa,cluster2
210,90,30,15,40,20,15,Igglybuff,cluster2
245,35,20,65,40,65,20,Togepi,cluster2
405,55,40,85,80,105,40,Togetic,cluster0
320,40,50,45,70,45,70,Natu,cluster2
470,65,75,70,95,70,95,Xatu,cluster0
280,55,40,40,65,45,35,Mareep,cluster2
365,70,55,55,80,60,45,Flaaffy,cluster0
510,90,75,85,115,90,55,Ampharos,cluster3
490,75,80,95,90,100,50,Bellossom,cluster0
250,70,20,50,20,50,40,Marill,cluster2
420,100,50,80,60,80,50,Azumarill,cluster0
410,70,100,115,30,65,30,Sudowoodo,cluster1
500,90,75,75,90,100,70,Politoed,cluster0
250,35,35,40,35,55,50,Hoppip,cluster2
340,55,45,50,45,65,80,Skiploom,cluster2
460,75,55,70,55,95,110,Jumpluff,cluster0
360,55,70,55,40,55,85,Aipom,cluster2
180,30,30,30,30,30,30,Sunkern,cluster2
425,75,75,55,105,85,30,Sunflora,cluster0
390,65,65,45,75,45,95,Yanma,cluster0
210,55,45,45,25,25,15,Wooper,cluster2
430,95,85,85,65,65,35,Quagsire,cluster0
525,65,65,60,130,95,110,Espeon,cluster3
525,95,65,110,60,130,65,Umbreon,ruido
405,60,85,42,85,42,91,Murkrow,cluster0
490,95,75,80,100,110,30,Slowking,cluster0
435,60,60,60,85,85,85,Misdreavus,cluster0
336,48,72,48,72,48,48,Unown,cluster2
405,190,33,58,33,58,33,Wobbuffet,ruido
455,70,80,65,90,65,85,Girafarig,cluster0
290,50,65,90,35,35,15,Pineco,cluster2
465,75,90,140,60,60,40,Forretress,cluster1
415,100,70,70,65,65,45,Dunsparce,cluster0
430,65,75,105,35,65,85,Gligar,ruido
510,75,85,200,55,65,30,Steelix,cluster1
300,60,80,50,40,40,30,Snubbull,cluster2
450,90,120,75,60,60,45,Granbull,cluster1
440,65,95,85,55,55,85,Qwilfish,ruido
500,70,130,100,55,80,65,Scizor,cluster1
505,20,10,230,10,230,5,Shuckle,ruido
500,80,125,75,40,95,85,Heracross,cluster1
430,55,95,55,35,75,115,Sneasel,ruido
330,60,80,50,50,50,40,Teddiursa,cluster2
500,90,130,75,75,75,55,Ursaring,cluster1
250,40,40,40,70,40,20,Slugma,cluster2
430,60,50,120,90,80,30,Magcargo,cluster0
250,50,50,40,30,30,50,Swinub,cluster2
450,100,100,80,60,60,50,Piloswine,cluster1
410,65,55,95,65,95,35,Corsola,cluster0
300,35,65,35,65,35,65,Remoraid,cluster2
480,75,105,75,105,75,45,Octillery,ruido
330,45,55,45,65,45,75,Delibird,cluster2
485,85,40,70,80,140,70,Mantine,cluster0
465,65,80,140,40,70,70,Skarmory,cluster1
330,45,60,30,80,50,65,Houndour,cluster2
500,75,90,50,110,80,95,Houndoom,cluster3
540,75,95,95,95,95,85,Kingdra,cluster3
330,90,60,60,40,40,40,Phanpy,cluster2
500,90,120,120,60,60,50,Donphan,cluster1
515,85,80,90,105,95,60,Porygon2,cluster3
465,73,95,62,85,65,85,Stantler,cluster0
250,55,20,35,20,45,75,Smeargle,cluster2
210,35,35,35,35,35,35,Tyrogue,cluster2
455,50,95,95,35,110,70,Hitmontop,cluster1
305,45,30,15,85,65,65,Smoochum,cluster2
360,45,63,37,65,55,95,Elekid,ruido
365,45,75,37,70,55,83,Magby,cluster0
490,95,80,105,40,70,100,Miltank,cluster1
540,255,10,10,75,135,55,Blissey,ruido
580,90,85,75,115,100,115,Raikou,cluster3
580,115,115,85,90,75,100,Entei,cluster3
580,100,75,115,90,115,85,Suicune,cluster3
300,50,64,50,45,50,41,Larvitar,cluster2
410,70,84,70,65,70,51,Pupitar,cluster0
600,100,134,110,95,100,61,Tyranitar,ruido
680,106,90,130,90,154,110,Lugia,cluster3
680,106,130,90,110,154,90,Ho-oh,cluster3
600,100,100,100,100,100,100,Celebi,cluster3
310,40,45,35,65,55,70,Treecko,cluster2
405,50,65,45,85,65,95,Grovyle,cluster0
530,70,85,65,105,85,120,Sceptile,cluster3
310,45,60,40,70,50,45,Torchic,cluster2
405,60,85,60,85,60,55,Combusken,cluster0
530,80,120,70,110,70,80,Blaziken,cluster3
310,50,70,50,50,50,40,Mudkip,cluster2
405,70,85,70,60,70,50,Marshtomp,cluster0
535,100,110,90,85,90,60,Swampert,cluster1
220,35,55,35,30,30,35,Poochyena,cluster2
420,70,90,70,60,60,70,Mightyena,cluster0
240,38,30,41,30,41,60,Zigzagoon,cluster2
420,78,70,61,50,61,100,Linoone,cluster0
195,45,45,35,20,30,20,Wurmple,cluster2
205,50,35,55,25,25,15,Silcoon,cluster2
395,60,70,50,100,50,65,Beautifly,cluster0
205,50,35,55,25,25,15,Cascoon,cluster2
385,60,50,70,50,90,65,Dustox,cluster0
220,40,30,30,40,50,30,Lotad,cluster2
340,60,50,50,60,70,50,Lombre,cluster2
480,80,70,70,90,100,70,Ludicolo,cluster0
220,40,40,50,30,30,30,Seedot,cluster2
340,70,70,40,60,40,60,Nuzleaf,cluster2
480,90,100,60,90,60,80,Shiftry,cluster0
270,40,55,30,30,30,85,Taillow,cluster2
455,60,85,60,75,50,125,Swellow,cluster0
270,40,30,30,55,30,85,Wingull,cluster2
440,60,50,100,95,70,65,Pelipper,cluster0
198,28,25,25,45,35,40,Ralts,cluster2
278,38,35,35,65,55,50,Kirlia,cluster2
518,68,65,65,125,115,80,Gardevoir,cluster3
269,40,30,32,50,52,65,Surskit,cluster2
454,70,60,62,100,82,80,Masquerain,cluster0
295,60,40,60,40,60,35,Shroomish,cluster2
460,60,130,80,60,60,70,Breloom,cluster1
280,60,60,60,35,35,30,Slakoth,cluster2
440,80,80,80,55,55,90,Vigoroth,cluster0
670,150,160,100,95,65,100,Slaking,ruido
266,31,45,90,30,30,40,Nincada,cluster2
456,61,90,45,50,50,160,Ninjask,ruido
236,1,90,45,30,30,40,Shedinja,cluster2
240,64,51,23,51,23,28,Whismur,cluster2
360,84,71,43,71,43,48,Loudred,cluster2
490,104,91,63,91,73,68,Exploud,cluster0
237,72,60,30,20,30,25,Makuhita,cluster2
474,144,120,60,40,60,50,Hariyama,cluster1
190,50,20,40,20,40,20,Azurill,cluster2
375,30,45,135,45,90,30,Nosepass,ruido
260,50,45,45,35,35,50,Skitty,cluster2
400,70,65,65,55,55,90,Delcatty,cluster0
380,50,75,75,65,65,50,Sableye,cluster0
380,50,85,85,55,55,50,Mawile,cluster0
330,50,70,100,40,40,30,Aron,cluster2
430,60,90,140,50,50,40,Lairon,cluster1
530,70,110,180,60,60,50,Aggron,cluster1
280,30,40,55,40,55,60,Meditite,cluster2
410,60,60,75,60,75,80,Medicham,cluster0
295,40,45,40,65,40,65,Electrike,cluster2
475,70,75,60,105,60,105,Manectric,ruido
405,60,50,40,85,75,95,Plusle,cluster0
405,60,40,50,75,85,95,Minun,cluster0
430,65,73,75,47,85,85,Volbeat,cluster0
430,65,47,75,73,85,85,Illumise,cluster0
400,50,60,45,100,80,65,Roselia,cluster0
302,70,43,53,43,53,40,Gulpin,cluster2
467,100,73,83,73,83,55,Swalot,cluster0
305,45,90,20,65,20,65,Carvanha,cluster2
460,70,120,40,95,40,95,Sharpedo,ruido
400,130,70,35,70,35,60,Wailmer,cluster0
500,170,90,45,90,45,60,Wailord,ruido
305,60,60,40,65,45,35,Numel,cluster2
460,70,100,70,105,75,40,Camerupt,cluster0
470,70,85,140,85,70,20,Torkoal,cluster1
330,60,25,35,70,80,60,Spoink,cluster2
470,80,45,65,90,110,80,Grumpig,cluster0
360,60,60,60,60,60,60,Spinda,cluster2
290,45,100,45,45,45,10,Trapinch,cluster2
340,50,70,50,50,50,70,Vibrava,cluster2
520,80,100,80,80,80,100,Flygon,ruido
335,50,85,40,85,40,35,Cacnea,cluster2
475,70,115,60,115,60,55,Cacturne,cluster3
310,45,40,60,40,75,50,Swablu,cluster2
490,75,70,90,70,105,80,Altaria,cluster0
458,73,115,60,60,60,90,Zangoose,cluster1
458,73,100,60,100,60,65,Seviper,cluster0
460,90,55,65,95,85,70,Lunatone,cluster0
460,90,95,85,55,65,70,Solrock,cluster1
288,50,48,43,46,41,60,Barboach,cluster2
468,110,78,73,76,71,60,Whiscash,cluster0
308,43,80,65,50,35,35,Corphish,cluster2
468,63,120,85,90,55,55,Crawdaunt,cluster1
300,40,40,55,40,70,55,Baltoy,cluster2
500,60,70,105,70,120,75,Claydol,cluster0
355,66,41,77,61,87,23,Lileep,cluster2
495,86,81,97,81,107,43,Cradily,ruido
355,45,95,50,40,50,75,Anorith,cluster2
495,75,125,100,70,80,45,Armaldo,cluster1
200,20,15,20,10,55,80,Feebas,cluster2
540,95,60,79,100,125,81,Milotic,cluster3
420,70,70,70,70,70,70,Castform,cluster0
440,60,90,70,60,120,40,Kecleon,cluster0
295,44,75,35,63,33,45,Shuppet,cluster2
455,64,115,65,83,63,65,Banette,cluster1
295,20,40,90,30,90,25,Duskull,cluster2
455,40,70,130,60,130,25,Dusclops,ruido
460,99,68,83,72,87,51,Tropius,cluster0
455,75,50,80,95,90,65,Chimecho,cluster0
465,65,130,60,75,60,75,Absol,cluster1
260,95,23,48,23,48,23,Wynaut,cluster2
300,50,50,50,50,50,50,Snorunt,cluster2
480,80,80,80,80,80,80,Glalie,cluster0
290,70,40,50,55,50,25,Spheal,cluster2
410,90,60,70,75,70,45,Sealeo,cluster0
530,110,80,90,95,90,65,Walrein,cluster3
345,35,64,85,74,55,32,Clamperl,cluster2
485,55,104,105,94,75,52,Huntail,cluster1
485,55,84,105,114,75,52,Gorebyss,ruido
485,100,90,130,45,65,55,Relicanth,cluster1
330,43,30,55,40,65,97,Luvdisc,cluster2
300,45,75,60,40,30,50,Bagon,cluster2
420,65,95,100,60,50,50,Shelgon,cluster1
600,95,135,80,110,80,100,Salamence,cluster3
300,40,55,80,35,60,30,Beldum,cluster2
420,60,75,100,55,80,50,Metang,cluster0
600,80,135,130,95,90,70,Metagross,ruido
580,80,100,200,50,100,50,Regirock,cluster1
580,80,50,100,100,200,50,Regice,cluster3
580,80,75,150,75,150,50,Registeel,ruido
600,80,80,90,110,130,110,Latias,cluster3
600,80,90,80,130,110,110,Latios,cluster3
670,100,100,90,150,140,90,Kyogre,cluster3
670,100,150,140,100,90,90,Groudon,ruido
680,105,150,90,150,90,95,Rayquaza,cluster3
600,100,100,100,100,100,100,Jirachi,cluster3
600,50,150,50,150,50,150,Deoxys Normal Forme,cluster3
318,55,68,64,45,55,31,Turtwig,cluster2
405,75,89,85,55,65,36,Grotle,cluster0
525,95,109,105,75,85,56,Torterra,cluster1
309,44,58,44,58,44,61,Chimchar,cluster2
405,64,78,52,78,52,81,Monferno,cluster0
534,76,104,71,104,71,108,Infernape,cluster3
314,53,51,53,61,56,40,Piplup,cluster2
405,64,66,68,81,76,50,Prinplup,cluster0
530,84,86,88,111,101,60,Empoleon,cluster3
245,40,55,30,30,30,60,Starly,cluster2
340,55,75,50,40,40,80,Staravia,cluster2
485,85,120,70,50,60,100,Staraptor,cluster1
250,59,45,40,35,40,31,Bidoof,cluster2
410,79,85,60,55,60,71,Bibarel,cluster0
194,37,25,41,25,41,25,Kricketot,cluster2
384,77,85,51,55,51,65,Kricketune,cluster0
263,45,65,34,40,34,45,Shinx,cluster2
363,60,85,49,60,49,60,Luxio,ruido
523,80,120,79,95,79,70,Luxray,ruido
280,40,30,35,50,70,55,Budew,cluster2
515,60,70,65,125,105,90,Roserade,cluster3
350,67,125,40,30,30,58,Cranidos,cluster2
495,97,165,60,65,50,58,Rampardos,cluster1
350,30,42,118,42,88,30,Shieldon,cluster2
495,60,52,168,47,138,30,Bastiodon,ruido
224,40,29,45,29,45,36,Burmy Plant Cloak,cluster2
424,60,59,85,79,105,36,Wormadam Plant Cloak,cluster0
424,70,94,50,94,50,66,Mothim,cluster0
244,30,30,42,30,42,70,Combee,cluster2
474,70,80,102,80,102,40,Vespiquen,cluster0
405,60,45,70,45,90,95,Pachirisu,cluster0
330,55,65,35,60,30,85,Buizel,cluster2
495,85,105,55,85,50,115,Floatzel,ruido
275,45,35,45,62,53,35,Cherubi,cluster2
450,70,60,70,87,78,85,Cherrim,cluster0
325,76,48,48,57,62,34,Shellos,cluster2
475,111,83,68,92,82,39,Gastrodon,cluster0
482,75,100,66,60,66,115,Ambipom,ruido
348,90,50,34,60,44,70,Drifloon,cluster2
498,150,80,44,90,54,80,Drifblim,ruido
350,55,66,44,44,56,85,Buneary,cluster2
480,65,76,84,54,96,105,Lopunny,cluster0
495,60,60,60,105,105,105,Mismagius,cluster3
505,100,125,52,105,52,71,Honchkrow,ruido
310,49,55,42,42,37,85,Glameow,cluster2
452,71,82,64,64,59,112,Purugly,cluster0
285,45,30,50,65,50,45,Chingling,cluster2
329,63,63,47,41,41,74,Stunky,cluster2
479,103,93,67,71,61,84,Skuntank,ruido
300,57,24,86,24,86,23,Bronzor,cluster2
500,67,89,116,79,116,33,Bronzong,cluster1
290,50,80,95,10,45,10,Bonsly,cluster2
310,20,25,45,70,90,60,Mime Jr.,cluster2
220,100,5,5,15,65,30,Happiny,cluster2
411,76,65,45,92,42,91,Chatot,cluster0
485,50,92,108,92,108,35,Spiritomb,ruido
300,58,70,45,40,45,42,Gible,cluster2
410,68,90,65,50,55,82,Gabite,cluster0
600,108,130,95,80,85,102,Garchomp,ruido
390,135,85,40,40,85,5,Munchlax,ruido
285,40,70,40,35,40,60,Riolu,cluster2
525,70,110,70,115,70,90,Lucario,cluster3
330,68,72,78,38,42,32,Hippopotas,cluster2
525,108,112,118,68,72,47,Hippowdon,cluster1
330,40,50,90,30,55,65,Skorupi,cluster2
500,70,90,110,60,75,95,Drapion,cluster1
300,48,61,40,61,40,50,Croagunk,cluster2
490,83,106,65,86,65,85,Toxicroak,ruido
454,74,100,72,90,72,46,Carnivine,cluster0
330,49,49,56,49,61,66,Finneon,cluster2
460,69,69,76,69,86,91,Lumineon,cluster0
345,45,20,50,60,120,50,Mantyke,ruido
334,60,62,50,62,60,40,Snover,cluster2
494,90,92,75,92,85,60,Abomasnow,cluster0
510,70,120,65,45,85,125,Weavile,cluster1
535,70,70,115,130,90,60,Magnezone,cluster3
515,110,85,95,80,95,50,Lickilicky,cluster1
535,115,140,130,55,55,40,Rhyperior,cluster1
535,100,100,125,110,50,50,Tangrowth,ruido
540,75,123,67,95,85,95,Electivire,cluster3
540,75,95,67,125,95,83,Magmortar,cluster3
545,85,50,95,120,115,80,Togekiss,cluster3
515,86,76,86,116,56,95,Yanmega,cluster3
525,65,110,130,60,65,95,Leafeon,cluster1
525,65,60,110,130,95,65,Glaceon,cluster3
510,75,95,125,45,75,95,Gliscor,cluster1
530,110,130,80,70,60,80,Mamoswine,cluster1
535,85,80,70,135,75,90,Porygon-Z,cluster3
518,68,125,65,65,115,80,Gallade,cluster1
525,60,55,145,75,150,40,Probopass,ruido
525,45,100,135,65,135,45,Dusknoir,cluster1
480,70,80,70,80,70,110,Froslass,cluster0
440,50,50,77,95,77,91,Rotom,cluster0
580,75,75,130,75,130,95,Uxie,cluster3
580,80,105,105,105,105,80,Mesprit,cluster3
580,75,125,70,125,70,115,Azelf,cluster3
680,100,120,120,150,100,90,Dialga,cluster3
680,90,120,100,150,120,100,Palkia,cluster3
600,91,90,106,130,106,77,Heatran,cluster3
670,110,160,110,80,110,100,Regigigas,ruido
680,150,100,120,100,120,90,Giratina Altered Forme,cluster3
580,120,70,110,75,120,85,Cresselia,cluster3
480,80,80,80,80,80,80,Phione,cluster0
600,100,100,100,100,100,100,Manaphy,cluster3
600,70,90,90,135,90,125,Darkrai,cluster3
600,100,100,100,100,100,100,Shaymin Land Forme,cluster3
720,120,120,120,120,120,120,Arceus,cluster3
600,100,100,100,100,100,100,Victini,cluster3
308,45,45,55,45,55,63,Snivy,cluster2
413,60,60,75,60,75,83,Servine,cluster0
528,75,75,95,75,95,113,Serperior,ruido
308,65,63,45,45,45,45,Tepig,cluster2
418,90,93,55,70,55,55,Pignite,cluster0
528,110,123,65,100,65,65,Emboar,ruido
308,55,55,45,63,45,45,Oshawott,cluster2
413,75,75,60,83,60,60,Dewott,cluster0
528,95,100,85,108,70,70,Samurott,cluster3
255,45,55,39,35,39,42,Patrat,cluster2
420,60,85,69,60,69,77,Watchog,cluster0
275,45,60,45,25,45,55,Lillipup,cluster2
370,65,80,65,35,65,60,Herdier,cluster2
500,85,110,90,45,90,80,Stoutland,cluster1
281,41,50,37,50,37,66,Purrloin,cluster2
446,64,88,50,88,50,106,Liepard,cluster0
316,50,53,48,53,48,64,Pansage,cluster2
498,75,98,63,98,63,101,Simisage,cluster3
316,50,53,48,53,48,64,Pansear,cluster2
498,75,98,63,98,63,101,Simisear,cluster3
316,50,53,48,53,48,64,Panpour,cluster2
498,75,98,63,98,63,101,Simipour,cluster3
292,76,25,45,67,55,24,Munna,cluster2
487,116,55,85,107,95,29,Musharna,cluster0
264,50,55,50,36,30,43,Pidove,cluster2
358,62,77,62,50,42,65,Tranquill,cluster2
488,80,115,80,65,55,93,Unfezant,cluster1
295,45,60,32,50,32,76,Blitzle,cluster2
497,75,100,63,80,63,116,Zebstrika,ruido
280,55,75,85,25,25,15,Roggenrola,cluster2
390,70,105,105,50,40,20,Boldore,cluster1
515,85,135,130,60,80,25,Gigalith,cluster1
323,65,45,43,55,43,72,Woobat,cluster2
425,67,57,55,77,55,114,Swoobat,cluster0
328,60,85,40,30,45,68,Drilbur,cluster2
508,110,135,60,50,65,88,Excadrill,cluster1
445,103,60,86,60,86,50,Audino,cluster0
305,75,80,55,25,35,35,Timburr,cluster2
405,85,105,85,40,50,40,Gurdurr,cluster1
505,105,140,95,55,65,45,Conkeldurr,cluster1
294,50,50,40,50,40,64,Tympole,cluster2
384,75,65,55,65,55,69,Palpitoad,cluster0
509,105,95,75,85,75,74,Seismitoad,cluster1
465,120,100,85,30,85,45,Throh,cluster1
465,75,125,75,30,75,85,Sawk,cluster1
310,45,53,70,40,60,42,Sewaddle,cluster2
380,55,63,90,50,80,42,Swadloon,ruido
500,75,103,80,70,80,92,Leavanny,cluster1
260,30,45,59,30,39,57,Venipede,cluster2
360,40,55,99,40,79,47,Whirlipede,cluster2
485,60,100,89,55,69,112,Scolipede,cluster1
280,40,27,60,37,50,66,Cottonee,cluster2
480,60,67,85,77,75,116,Whimsicott,cluster0
280,45,35,50,70,50,30,Petilil,cluster2
480,70,60,75,110,75,90,Lilligant,ruido
460,70,92,65,80,55,98,Basculin Red-Striped Form,cluster0
292,50,72,35,35,35,65,Sandile,cluster2
351,60,82,45,45,45,74,Krokorok,cluster2
519,95,117,80,65,70,92,Krookodile,cluster1
315,70,90,45,15,45,50,Darumaka,cluster2
480,105,140,55,30,55,95,Darmanitan Standard Mode,cluster1
461,75,86,67,106,67,60,Maractus,cluster0
325,50,65,85,35,35,55,Dwebble,cluster2
485,70,105,125,65,75,45,Crustle,cluster1
348,50,75,70,35,70,48,Scraggy,cluster2
488,65,90,115,45,115,58,Scrafty,cluster1
490,72,58,80,103,80,97,Sigilyph,ruido
303,38,30,85,55,65,30,Yamask,cluster2
483,58,50,145,95,105,30,Cofagrigus,cluster0
355,54,78,103,53,45,22,Tirtouga,cluster2
495,74,108,133,83,65,32,Carracosta,cluster1
401,55,112,45,74,45,70,Archen,cluster0
